nb_fakewords	ponctuation	partage	label	id	sim_tfidf	sim_texte_tittre	label1	proba1	label2	proba2	source
14	False	1	fakeNews	166	2	0.35865642573900497	trusted	0.167509	fakeNews	0.832511	yt
8	False	1	fakeNews	127	39	0.3813668496535014	trusted	0.301202	fakeNews	0.698818	yt
1254	False	2	fakeNews	179	91	0.4342199929289721	trusted	0.166373	fakeNews	0.833647	yt
243	False	2	fakeNews	23	10	0.41507675619186096	trusted	0.103087	fakeNews	0.896933	yt
18	False	1	fakeNews	248	5	0.3162838243232804	trusted	0.0695541	fakeNews	0.930466	yt
8	False	1	fakeNews	68	4	0.32504470296201216	trusted	0.145495	fakeNews	0.854525	yt
5	False	1	fakeNews	78	153	0.41956639998351486	trusted	0.529462	fakeNews	0.470558	yt
313	False	2	fakeNews	128	3	nan	trusted	0.0634544	fakeNews	0.936566	yt
48	False	4	fakeNews	243	253	0.23360606337934647	trusted	0.0642356	fakeNews	0.935784	yt
10	False	1	fakeNews	4	490	nan	trusted	0.0687512	fakeNews	0.931269	yt
7	False	1	trusted	142	7	0.444532884748902	trusted	0.156832	fakeNews	0.843188	yt
44	False	1	trusted	138	508	0.3676334447025403	trusted	0.2495	fakeNews	0.75052	yt
86	False	1	fakeNews	208	166	0.3272391512275987	trusted	0.402103	fakeNews	0.597917	yt
13	False	1	fakeNews	84	2	0.11756865084868139	trusted	0.138255	fakeNews	0.861765	yt
10	False	1	fakeNews	302	23	0.25746821164900346	trusted	0.757407	fakeNews	0.242613	yt
308	False	1	fakeNews	130	71	0.27582711107055885	trusted	0.153645	fakeNews	0.846375	yt
322	False	3	fakeNews	269	17	0.22594756657093437	trusted	0.140131	fakeNews	0.859889	yt
45	False	1	trusted	242	0	0.36155036535884455	trusted	0.268813	fakeNews	0.731207	yt
281	False	3	fakeNews	135	2	0.23524497468828032	trusted	0.142568	fakeNews	0.857452	yt
488	False	3	fakeNews	219	61	0.34650919870559294	trusted	0.0852886	fakeNews	0.914731	yt
301	False	1	fakeNews	114	510	0.36496538611965457	trusted	0.0971762	fakeNews	0.902844	yt
40	False	2	fakeNews	62	11	0.34064237835181044	trusted	0.358607	fakeNews	0.641413	yt
367	False	2	fakeNews	145	6	0.43006797011155734	trusted	0.0997164	fakeNews	0.900304	yt
266	False	3	fakeNews	117	22	0.320506467210269	trusted	0.0516465	fakeNews	0.948373	yt
317	False	2	fakeNews	281	9	0.4157006366440111	trusted	0.0460822	fakeNews	0.953938	yt
34	False	1	fakeNews	88	0	0.35311269825561814	trusted	0.163997	fakeNews	0.836023	yt
15	False	0	fakeNews	14	0	0.34217211608868203	trusted	0.335282	fakeNews	0.664738	yt
618	False	5	trusted	119	270	0.4088013995365436	trusted	0.118336	fakeNews	0.881684	yt
54	False	1	trusted	60	1399	0.39169342082186676	trusted	0.309373	fakeNews	0.690647	yt
15	False	1	trusted	298	15	0.37464632806461484	trusted	0.456737	fakeNews	0.543283	yt
356	False	2	fakeNews	228	52	0.4333528039455784	trusted	0.101918	fakeNews	0.898102	yt
2	False	0	fakeNews	51	4	0.32021973438161905	trusted	0.116048	fakeNews	0.883972	yt
854	False	9	fakeNews	193	4	0.31533431890574165	trusted	0.0763981	fakeNews	0.923622	yt
198	False	1	fakeNews	236	5	0.42885433911709725	trusted	0.0602391	fakeNews	0.939781	yt
69	False	1	trusted	279	5	0.29557273580554794	trusted	0.199503	fakeNews	0.800517	yt
406	False	2	fakeNews	296	10	0.3862485262259458	trusted	0.0989649	fakeNews	0.901055	yt
27	False	0	fakeNews	168	5	0.37256664595832106	trusted	0.265558	fakeNews	0.734462	yt
38	True	1	fakeNews	214	1	0.38418813344754976	trusted	0.397214	fakeNews	0.602806	yt
13	False	1	trusted	289	0	0.3947006836425381	trusted	0.615254	fakeNews	0.384766	yt
449	False	3	fakeNews	6	4	0.3667146771731474	trusted	0.102712	fakeNews	0.897308	yt
98	False	1	fakeNews	48	0	0.34844139737976493	trusted	0.234748	fakeNews	0.765272	yt
38	False	1	fakeNews	99	4	0.3562111515330335	trusted	0.345372	fakeNews	0.654648	yt
225	False	1	fakeNews	235	2	0.3897073809773075	trusted	0.154203	fakeNews	0.845817	yt
113	False	4	fakeNews	57	6	0.34770107426675534	trusted	0.288994	fakeNews	0.711026	yt
42	False	2	fakeNews	163	0	0.22253255307451225	trusted	0.166076	fakeNews	0.833944	yt
288	True	2	fakeNews	131	3	0.3174644411827284	trusted	0.155884	fakeNews	0.844136	yt
7	False	0	trusted	5	71	0.372878363323201	trusted	0.599252	fakeNews	0.400769	yt
3	False	1	fakeNews	136	5	0.3762977766167413	trusted	0.0153387	fakeNews	0.984681	yt
331	False	2	fakeNews	237	75	0.3341276122705894	trusted	0.0685028	fakeNews	0.931517	yt
6	False	1	fakeNews	157	41	0.37454711815298936	trusted	0.266614	fakeNews	0.733406	yt
256	False	2	fakeNews	276	5	0.4596255939279252	trusted	0.134898	fakeNews	0.865122	yt
36	False	2	fakeNews	40	4	0.41363921591866265	trusted	0.142585	fakeNews	0.857435	yt
20	False	1	fakeNews	265	3	0.38843324213048736	trusted	0.261867	fakeNews	0.738154	yt
524	False	3	fakeNews	206	3	0.3665910193568772	trusted	0.159496	fakeNews	0.840524	yt
55	False	1	fakeNews	174	133	0.3901003739376745	trusted	0.0584907	fakeNews	0.941529	yt
6	False	1	fakeNews	173	57	0.3441265537767209	trusted	0.168695	fakeNews	0.831325	yt
34	False	1	trusted	56	561	0.33965100087929123	trusted	0.530106	fakeNews	0.469914	yt
106	False	1	trusted	73	15	0.4003633415222542	trusted	0.405485	fakeNews	0.594535	yt
39	False	1	fakeNews	59	4	0.30663877551462243	trusted	0.142238	fakeNews	0.857782	yt
1338	False	4	fakeNews	240	7	0.2575102479274374	trusted	0.0913465	fakeNews	0.908674	yt
24	False	0	trusted	44	4	0.4271536564976561	trusted	0.288299	fakeNews	0.711721	yt
5	False	1	fakeNews	188	6	0.37455338738727084	trusted	0.588788	fakeNews	0.411232	yt
306	False	1	fakeNews	76	0	0.27855511670331895	trusted	0.158999	fakeNews	0.841021	yt
8	True	1	fakeNews	111	0	0.39102271634823216	trusted	0.0193996	fakeNews	0.98062	yt
656	False	3	fakeNews	35	718	0.3323541567496188	trusted	0.0682403	fakeNews	0.93178	yt
0	False	1	fakeNews	244	19	0.40949410040497647	trusted	0.00752391	fakeNews	0.992496	yt
52	False	1	trusted	164	67	0.24904671308215087	trusted	0.153513	fakeNews	0.846507	yt
30	False	1	fakeNews	283	5	0.3381521147342638	trusted	0.774852	fakeNews	0.225168	yt
7	False	0	fakeNews	218	60	0.38344052142763047	trusted	0.0699077	fakeNews	0.930112	yt
240	False	3	fakeNews	159	1	0.3645816074952524	trusted	0.145905	fakeNews	0.854115	yt
179	False	1	fakeNews	80	7	0.22559479944654395	trusted	0.0844463	fakeNews	0.915574	yt
434	False	2	fakeNews	100	6	0.38916618776740514	trusted	0.0659403	fakeNews	0.93408	yt
14	False	1	fakeNews	106	1	0.28265041059693524	trusted	0.140194	fakeNews	0.859826	yt
172	False	1	fakeNews	285	3	0.4177707253916885	trusted	0.0441574	fakeNews	0.955863	yt
13	False	0	fakeNews	255	0	0.3178276090559507	trusted	0.551675	fakeNews	0.448345	yt
456	False	2	fakeNews	301	5	0.2961438815022391	trusted	0.0678545	fakeNews	0.932166	yt
33	False	1	fakeNews	144	62	0.357342903815272	trusted	0.129651	fakeNews	0.870369	yt
106	False	1	trusted	154	574	0.3779778545908945	trusted	0.0986542	fakeNews	0.901366	yt
18	False	1	fakeNews	92	5	0.3271837306739776	trusted	0.326679	fakeNews	0.673341	yt
18	False	1	fakeNews	273	2	0.3924172680063274	trusted	0.118944	fakeNews	0.881076	yt
32	False	1	trusted	21	5	0.3839057338414698	trusted	0.132478	fakeNews	0.867542	yt
1	True	1	fakeNews	86	6	0.3370596291707628	trusted	0.00773784	fakeNews	0.992282	yt
20	False	1	fakeNews	8	6	0.3860230556662941	trusted	0.385672	fakeNews	0.614348	yt
31	False	1	fakeNews	201	43	0.28862146003595557	trusted	0.0623009	fakeNews	0.937719	yt
471	False	2	fakeNews	26	5	nan	trusted	0.158868	fakeNews	0.841152	yt
474	False	3	fakeNews	262	1	0.42366155876049805	trusted	0.158972	fakeNews	0.841048	yt
320	False	3	fakeNews	18	2	0.379175148617758	trusted	0.0691088	fakeNews	0.930911	yt
32	False	1	fakeNews	198	180	0.2868772736503576	trusted	0.0592381	fakeNews	0.940782	yt
263	False	2	fakeNews	182	368	0.23694184266475016	trusted	0.0569479	fakeNews	0.943072	yt
207	False	2	fakeNews	222	2	0.3950325238416747	trusted	0.185545	fakeNews	0.814475	yt
871	False	2	fakeNews	178	38	0.3996747264577788	trusted	0.101904	fakeNews	0.898116	yt
68	False	1	trusted	105	0	0.3959415757668028	trusted	0.160497	fakeNews	0.839523	yt
64	False	1	fakeNews	171	6	0.23224739477791592	trusted	0.201589	fakeNews	0.798431	yt
18	False	0	fakeNews	311	8	0.39497643345331745	trusted	0.18323	fakeNews	0.81679	yt
13	False	1	trusted	215	837	0.2891394744928429	trusted	0.128896	fakeNews	0.871124	yt
5	False	1	trusted	24	259	0.3935518276466926	trusted	0.635377	fakeNews	0.364643	yt
312	False	2	fakeNews	246	4	0.37764070703960295	trusted	0.0447392	fakeNews	0.955281	yt
16	False	0	fakeNews	77	22	0.34896712208487507	trusted	0.200339	fakeNews	0.799681	yt
474	False	3	fakeNews	153	5	0.34337416210886856	trusted	0.158872	fakeNews	0.841148	yt
2	False	1	fakeNews	121	109	0.3941342117316021	trusted	0.125643	fakeNews	0.874377	yt
0	False	1	trusted	288	4	0.37828156657899625	trusted	0.829064	fakeNews	0.170956	yt
56	False	1	trusted	176	0	0.3318771740499604	trusted	0.173238	fakeNews	0.826782	yt
8	False	0	fakeNews	291	2	0.4363314762818421	trusted	0.693818	fakeNews	0.306202	yt
1	False	0	fakeNews	267	3	0.4425832475183107	trusted	0.0859555	fakeNews	0.914065	yt
132	False	1	fakeNews	202	1	0.29224296093092067	trusted	0.12471	fakeNews	0.87531	yt
25	False	1	fakeNews	229	17	0.24872666657032044	trusted	0.347905	fakeNews	0.652115	yt
35	False	0	trusted	13	3	0.4090439243497158	trusted	0.347986	fakeNews	0.652034	yt
438	False	2	fakeNews	118	5	0.37763890988574755	trusted	0.0650251	fakeNews	0.934995	yt
81	False	1	trusted	232	163	0.38770008509382736	trusted	0.385133	fakeNews	0.614887	yt
34	False	1	fakeNews	169	18	0.36390095655928456	trusted	0.113667	fakeNews	0.886353	yt
412	False	3	fakeNews	10	0	0.3815891212797373	trusted	0.100531	fakeNews	0.899489	yt
270	False	3	fakeNews	64	1	0.389352578664167	trusted	0.123516	fakeNews	0.876504	yt
341	False	3	fakeNews	252	1	0.3792519187597206	trusted	0.106439	fakeNews	0.893581	yt
48	False	1	fakeNews	46	7	0.3118046544927605	trusted	0.1374	fakeNews	0.86262	yt
0	False	1	trusted	256	6	0.4121399848991464	trusted	0.485777	fakeNews	0.514243	yt
16	False	1	trusted	250	76	0.44423950874103413	trusted	0.241203	fakeNews	0.758817	yt
18	False	1	trusted	156	8	0.45190780268735126	trusted	0.378489	fakeNews	0.621531	yt
997	False	5	fakeNews	245	238	0.22026954755332467	trusted	0.0723502	fakeNews	0.92767	yt
16	False	0	fakeNews	134	2	0.30484875977776543	trusted	0.363421	fakeNews	0.636599	yt
189	False	3	fakeNews	190	2	0.2606718620778614	trusted	0.13483	fakeNews	0.86519	yt
74	False	2	fakeNews	31	109	0.3497002965327981	trusted	0.0710668	fakeNews	0.928953	yt
25	False	0	trusted	141	185	0.37748119186232904	trusted	0.25302	fakeNews	0.747	yt
16	False	1	trusted	50	17	0.4088353801251999	trusted	0.188461	fakeNews	0.811559	yt
103	False	1	fakeNews	89	206	0.3453053733706685	trusted	0.077772	fakeNews	0.922248	yt
6	False	0	fakeNews	260	1	0.3610578413291112	trusted	0.108237	fakeNews	0.891783	yt
0	False	1	fakeNews	295	5	0.42612457603184023	trusted	0.00410949	fakeNews	0.99591	yt
1	False	0	fakeNews	47	185	0.3229865959448367	trusted	0.371241	fakeNews	0.628779	yt
109	False	1	fakeNews	33	3	0.335232498333613	trusted	0.139564	fakeNews	0.860456	yt
47	False	1	fakeNews	15	1	0.2683110550091916	trusted	0.148819	fakeNews	0.851201	yt
9	False	1	trusted	204	455	0.39681846764137735	trusted	0.846045	fakeNews	0.153975	yt
368	False	3	fakeNews	98	240	0.37498492202337236	trusted	0.0486651	fakeNews	0.951355	yt
89	False	1	fakeNews	203	2	0.402475307164063	trusted	0.182531	fakeNews	0.817489	yt
49	False	2	fakeNews	149	0	0.20760780443898377	trusted	0.0331538	fakeNews	0.966866	yt
273	False	3	fakeNews	12	4	0.2842472924544566	trusted	0.0585995	fakeNews	0.941421	yt
49	False	1	trusted	28	36	0.42741707859863154	trusted	0.223625	fakeNews	0.776395	yt
15	False	1	fakeNews	42	1	0.3618290005996931	trusted	0.161284	fakeNews	0.838736	yt
39	False	1	trusted	45	4	0.4051392095123077	trusted	0.198895	fakeNews	0.801125	yt
1095	False	8	fakeNews	102	48	0.22089517214007506	trusted	0.0782307	fakeNews	0.921789	yt
461	False	4	fakeNews	225	1	nan	trusted	0.0441728	fakeNews	0.955847	yt
22	False	1	trusted	184	3	0.3641602360484294	trusted	0.559142	fakeNews	0.440878	yt
17	False	1	trusted	75	0	0.39279698285276665	trusted	0.326293	fakeNews	0.673727	yt
756	False	3	fakeNews	101	282	0.425494972067928	trusted	0.0922852	fakeNews	0.907735	yt
53	False	1	trusted	192	3	0.33227688769816727	trusted	0.236242	fakeNews	0.763778	yt
134	False	1	fakeNews	197	5	0.32356467820521556	trusted	0.129882	fakeNews	0.870138	yt
53	False	1	fakeNews	181	5	0.34593933713149483	trusted	0.280095	fakeNews	0.719925	yt
220	False	4	trusted	124	138	0.4125600906214703	trusted	0.118171	fakeNews	0.881849	yt
15	False	1	fakeNews	97	3	0.3248236522549507	trusted	0.126284	fakeNews	0.873736	yt
28	False	1	fakeNews	194	27	0.3632407216766661	trusted	0.231409	fakeNews	0.768611	yt
40	False	1	trusted	103	52	0.4262018019642964	trusted	0.128731	fakeNews	0.871289	yt
18	False	1	fakeNews	125	1	0.3947216880455784	trusted	0.584955	fakeNews	0.415065	yt
5	False	1	fakeNews	263	107	0.4453116363002989	trusted	0.0674257	fakeNews	0.932594	yt
8	False	1	fakeNews	113	0	0.37255187114041044	trusted	0.338197	fakeNews	0.661823	yt
327	False	3	fakeNews	104	4	0.34934858065925495	trusted	0.136143	fakeNews	0.863877	yt
5	False	0	fakeNews	74	0	0.4173720356458668	trusted	0.655586	fakeNews	0.344434	yt
14	False	1	fakeNews	227	0	0.43646612692567305	trusted	0.0553669	fakeNews	0.944653	yt
8	False	1	fakeNews	39	1	0.39372007842643447	trusted	0.395526	fakeNews	0.604494	yt
